Name,Description
Kamu - Chatbot about immigration processes ,Kamu is a chatbot used by the Finnish Immigration Service that gives general advice to citizens about immigration processes or about the process of the application. 
PatRek - Chatbot for business,Chatbot to answer questions with regard to setting up a company in Finland based on the Finnish Chatbot Platform
Helsinki HUH - Intensive care for premature baby,"AI system to follow the intensive care of premature baby and equipment. The AI is more accurate to notice some signals better than the doctors, based on IBM Watson.  The system works 24/7 without any breaks. This should ensure a better care system for the premature baby, living rate, suport for personal and improved trust in healthcare."
OuluBot - Virtual assistant for business,"The City of Oulu has started a project co-financed by Business Finland, which aims to build a chatbot service, OuluBot. The goal for OuluBot is to become a virtual assistant in all everyday issues, whether they concern tourism, companies or city services. The answer or guidance to an electronic service should be provided regardless of time, place, medium and language. Technically, chatbot retrieves information e.g. relevant City of Oulu websites, chat history, guidance information, databases, and other information sources. OuluBot is available 24/7 service. independent of working hours. If the user is looking for information that OuluBot would not be able to answer, then during office hours the discussion could be directed to the City of Oulu chat service (Oulu10 general counseling customer service)."
AuroraAI  - Programme with many AI examples.,"One of the experimental applications that has been run during the AuroraAI programme focused on the “moving to a place of study” life-event. Two cities involved (Tampere and Turku) carried out well-being surveys among its student populations, and - based on its results - clustered the students into the groups in need of different support. The study has discovered that factors such as reliability of the public transportation, and quality of the natural environment plays an important role in students’ well-being. Data retrieved from the study helped create a new cross-cutting public offering - a bot that would supply information about the topics that students found important. The uptake of the new service has been lackluster, leading the authorities to believe that only proactive marketing could change customers’ behaviour. Also it has been concluded that in order to pursue such projects further, municipalities need to develop user experience awareness and data analytics skills. "
VeroBot - Chatbot for citizens about tax management ,"The Finnish Tax Administration has published a joint chatbot service together with the Immigration Service and the Patent and Registration Office. The service includes three different chatbots. They utilise Artificial Intelligence to answer customers' questions. The bots know about work related taxation, immigration and business registration in Finland. At the moment the target group is entrepreneurs from outside Finland.
The chatbot service is currently in the trial stage and available only in English. The service is open until the end of June 2019. You can test the chatbot yourself on the tax.fi page. More information at:  https://www.vero.fi/en/About-us/contact-us/chat_with_the_tax_authoritie/"
Case Fiva (RPA) - Support the Financial supervisory Authority,"The Financial Supervisory Authority is an example of a government agency that uses  Artificial Intelligence. The Financial Supervisory Authority is a financial and insurance supervisory agency, which does not always have adequate resources for its tasks. Robotics   and Artificial Intelligence have eased the situation and their use has also led to a sharp   fall in the number of human errors. The Financial Supervisory Authority supervises the   operations of banks, insurance and pension insurance companies, other actors in the   insurance sector, investment firms, fund management companies and the Helsinki Stock   Exchange. The supervised entities provide 95% of the funding for the operations and the   remaining five per cent comes from the Bank of Finland."
Chatbot Trade Register - Development of Chatbot for Trade Register matters,The Finnish Patent Registration Office is currently building a  Finnish-speaking chatbot which helps customers with Trade Register matters. 
Automation of subtitling videos and audios - Improving accessibility of public websites,The solution relates to the directive (EU) 2016/2102 of the European Parliament and of the Council of 26 October 2016 on the accessibility of the websites and mobile applications of public sector bodies. The technical solution is intended for subtitling public and internal videos and audios by utilizing Microsoft's Azure cloud computing technology - speech-to-text services and text analytics.  The subtitling service is automated in such a way that the user downloads the recording to be subtitled via the web interface and receives an e-mail when the subtitling is completed. The subtitle file (.srt) is returned to the user. 
Cultural Heritage Tools - AI tools integrated in the National Library of Finland,"Two AI tools have been integrated into the IT system of the National Library of Finland (digi.nationallibrary.fi):
1. Named entity recognition (NER)
-Stanford NER software to recognize persons and place names from the Finnish historical newspapers. The first training and evaluation data set was created that consists of pages of both journals and newspapers from the time period 1836–1918. The Stanford NER system was trained using 220 annotated pages and evaluated using 34 pages. The results that were achieved were mostly good: 71 % of person names and 79 % of place names were recognized from the evaluation data.
2. Image classification
-Google TensorFlow was used to classify images.
A training dataset was created that was used to train the classifier model with TensorFlow. Using the trained model, it was possible to classify images into the following groups: advertisements, drawings, notes, pictures, paintings, maps or garbage.
-The trained model was used to classify 50 000 images and its accuracy was about 70-75% when about 10 000 classified images were manually observed.
-A graphical user interface was created that enabled an easier way to observe achieved results."
Chatbot  Social Insurance Institution of Finland - Automating communication with customers,"Chatbots are in use in the customer service since 2017, during these years the Chatbot has been developed further, with two different vendors. At the moment, the organisation are  developing this service from FAQ-bot to more sophisticated one, which means that we are planning and testing the use of identification, automation and API. It is planned that in the near future our customers can do the basic customer service tasks with chatbot, and they don't feel the need to contact our customer service as frequently as they do now. 

Right now the chatbot can answer to questions reqarding familybenefits, income support and coronavirus. Chatbot speaks finnish and swedish, and understands english (anwers are given in either finnish or swedish). "
IMMS (Intelligent Material Management System) for the entire library collection.  ,"An intelligent material management system was acquired while the city library moved away from library-specific collections to one shared collection. With the change, the library wanted to enable moving the material freely between different libraries. The system was introduced in May 2019, after which it has been in use but still in the deployment phase. The system has made it possible to reach a situation where the majority of the collection now floats, i.e. moves freely between libraries. IMMS gives public libraries control of collection, space, and float management. IMMS complements your existing ILS and creates an unprecedented level of transparency in your material flow. Utilizing new tools for data collection, items can be tracked to the shelf, shelving cart, transport bin, or storage location.
"
NeRo Chatbot - Chatbot for clients of maternity services ,"Counseling chat and counseling robot NeRo. Transactions in the chat are initially anonymous, but if necessary, we may ask you to identify yourself during the chat. With identification, we can advise you more personally. The authentication feature is still in the experimental phase. Currently, authentication works best on Android and Windows devices. Full Apple support is coming soon. Anonymous chat already works on all devices.  NeRo counseling robot is not currently in use."
Job Market Finland - Matching employees with right jobs,"Job Market Finland, which is a service developed by KEHA-Centre and the Ministry of Economic Affairs and Employment, is being built up in stages and it will emerge as a new kind of service for the job market, offering a shared platform for public and private suppliers of services for training and for business and industry, and for the jobs offered by various employment exchange platforms.
The most important thing in the job market is matching the right employees with the right jobs. If everything goes right, the employee gets a job that matches their skills and interests, while the employer gains a skilled worker.
The AI-based matching solution matches jobseeker-profiles and job vacancies based on structured information (e.g. skills, occupations) and natural language. The matches are scored and showed to both jobseeker and employer. AI-solution also helps in describing skills needed or provided. "
AI assisted chat service - Chatbot for tax purposes ,"AI assisted chat service provided by Finnish Tax Administration
- Service for individual tax payers: virtual agent advises in most common tax matters. During office hours human agent can be invited into conversation if necessary. 
- Customer gets a quick reply regardless of time, without any telephone expenses or identification required
- AI assisted chat service uses NLP (natural language processing) to translate customer messages into a format that can be understood by a virtual agent
- AI solution is developed by commercial organisation, whereas governing the virtual agent (AI training, monitoring, and content creation) is done by Finnish Tax Administration chat-product team


"
MLOps platform for classification purposes - Developing classification models,"Aim is to make maintaining and developing machine learning classification models easier and more robust. Classification models are used in internal processes, either in batch mode or as online prediction services. The system also defines architecture and security policies to be used with the models. So that those decisions don't have to be made in each case separately. The system is meant for expert usage in internal data or statistics processes. The outcome is usually some middle-product data which is then aggregated before it is released to the public as a statistics release."
